crop,disease_or_pest,agent,pathogen_type,recommended_treatment,treatment_type,active_ingredient,dosage,application_interval_days,stage_applicable,organic_option,precautions,region_applicability
Barley,Loose Smut,Ustilago nuda,Fungus,Treat seed with Carboxin 37.5% + Thiram 37.5% DS at 2.5 g/kg seed,Chemical/Cultural,Carboxin + Thiram,2.5 g/kg seed,0,Pre-sowing (seed treatment),Hot water seed treatment,Use certified seeds,Northern India
Coffee,Leaf Rust,Hemileia vastatrix,Fungus,Spray Copper Oxychloride 0.5% (Bordeaux mixture) twice a year,Chemical,Copper Oxychloride,0.005,90,Active vegetative,Maintain shade and balanced nutrition,Ensure thorough coverage on leaf undersides,Hilly regions of South India
Turmeric,Rhizome Rot (Soft Rot),Pythium spp. / Fusarium spp.,Oomycete/Fungus,"Dip rhizomes in Metalaxyl + Mancozeb (0.3%) before planting",Chemical,"Metalaxyl + Mancozeb",0.003,0,Pre-sowing (Rhizome treatment),Use Trichoderma viride drenching,"Ensure good drainage and avoid injury to rhizomes",All Turmeric growing regions
Soybean,Yellow Mosaic Virus,Bean Yellow Mosaic Virus,Virus,"Uproot infected plants; spray Imidacloprid 17.8 SL (0.5 ml/L) to control whitefly vector",Chemical (Vector),Imidacloprid,0.5 ml/L,15,Early Vegetative,"Use resistant varieties; remove weeds",Avoid using infected seeds,"Madhya Pradesh & Maharashtra"
Onion,Purple Blotch,Alternaria porri,Fungus,Spray Mancozeb 0.25% or Iprodione 0.2% at 10 day intervals,Chemical,Mancozeb or Iprodione,0.2%-0.25%,10,Leaf Development,"Ensure good air circulation and drainage",Avoid overhead irrigation,"Tamil Nadu, Karnataka"
Cabbage,Black Rot,Xanthomonas campestris,Bacteria,"Seed treatment with hot water (50°C for 30 min) and Copper Oxychloride spray 0.3%",Chemical,Copper Oxychloride,0.003,7,Early Growth,Use disease-free seed and rotate crops,Avoid excessive watering,Pan-India
Jute,Stem Rot,Macrophomina phaseolina,Fungus,Treat seed with Thiram 0.3% and soil drenching with Trichoderma viride,Biological/Chemical,Thiram or Trichoderma viride,0.1%-0.3%,15,Early Growth,Maintain proper drainage,Do not over-irrigate,West Bengal
Tea,Blister Blight,Exobasidium vexans,Fungus,Spray Copper Oxychloride 0.3% at fortnightly intervals during wet season,Chemical,Copper Oxychloride,0.003,15,Active Growth,Prune infected shoots,Avoid spraying during heavy rain,"Assam, Darjeeling"
Mango,Anthracnose,Colletotrichum gloeosporioides,Fungus,Spray Carbendazim 0.1% or Copper Oxychloride 0.3% before flowering,Chemical,Mancozeb or Copper Oxychloride,0.1%-0.3%,15,Pre-flowering to Fruiting,Remove infected twigs and fruits,Avoid high humidity during flowering,"Mango belts UP, Bihar, Andhra"
Citrus (Orange),Canker,Xanthomonas citri,Bacteria,Spray Copper Oxychloride 0.3% or Streptocycline 100 ppm,Chemical,Copper Oxychloride or Streptocycline,0.3% or 100 ppm,30,Active Growth,"Use windbreaks; remove infected twigs",Avoid pruning during wet season,"Maharashtra & Punjab"
Coconut,Bud Rot,Phytophthora palmivora,Fungus,Apply Bordeaux mixture 1% on crown region and remove infected tissues,Chemical/Cultural,Bordeaux mixture,0.01,30,All Stages,Keep crown clean and dry,Avoid water stagnation,"Kerala & Coastal regions"
Black Pepper,Quick Wilt (Foot Rot),Phytophthora capsici,Fungus,Apply Metalaxyl + Mancozeb 0.2% soil drench around vines,Chemical,"Metalaxyl + Mancozeb",0.002,20,Pre-Monsoon,Apply Trichoderma near root zone,Ensure drainage and mulching,Kerala
Ginger,Soft Rot,Pythium spp.,Fungus,Treat rhizomes with Mancozeb 0.3% or Trichoderma suspension before planting,Chemical,Mancozeb,0.003,0,Pre-sowing,Use raised beds for drainage,Do not use infected rhizomes,All Ginger-growing regions
Millets (Bajra),Ergot,Claviceps fusiformis,Fungus,"Remove sclerotia via brine solution (10%); Spray Ziram 0.2% at boot leaf",Chemical,Ziram,0.002,10-Oct,Boot Leaf Stage,"Use clean seeds; crop rotation",Avoid late sowing,"Rajasthan, Karnataka, Maharashtra"
Oats,Leaf Blotch,Pyrenophora avenae,Fungus,Spray Mancozeb 0.25% at 10-day interval after symptom appearance,Chemical,Mancozeb,0.0025,10,Active Growth,"Rotate crops; remove infected residues",Do not over-irrigate,North India
Foxtail Millet,Blast,Pyricularia setariae,Fungus,Spray Tricyclazole 0.6 g/L water,Chemical,Tricyclazole,0.6 g/L,15,Panicle Initiation,Use clean seed and crop rotation,Avoid water stagnation,South and Central India
Little Millet,Leaf Spot,Helminthosporium spp.,Fungus,Spray Mancozeb 0.2% or Carbendazim 0.1%,Chemical,Mancozeb or Carbendazim,0.002,15-Oct,Tillering Stage,Use disease-free seed,Maintain field sanitation,"Madhya Pradesh and Tamil Nadu"
Barnyard Millet,Rust,Puccinia spp.,Fungus,Spray Mancozeb 0.25% at 15-day interval,Chemical,Mancozeb,0.0025,15,Active Vegetative,Use resistant varieties,Avoid excessive nitrogen,Uttarakhand and North East
Proso Millet,Leaf Spot,Alternaria spp.,Fungus,Spray Mancozeb 0.25% twice at 15-day interval,Chemical,Mancozeb,0.0025,15,Vegetative,Use certified seeds and crop rotation,Avoid overflow,Central India
Moong (Green Gram),Yellow Mosaic Virus,MYMV,Virus,"Remove infected plants; spray Imidacloprid 0.5 ml/L to control vector",Chemical,Imidacloprid,0.0005,15,Early Vegetative,"Use resistant varieties like PDM-11",Avoid mixed cropping with okra/brinjal,North & Central India
Masoor (Lentil),Rust,Uromyces viciae-fabae,Fungus,Spray Propiconazole 25 EC (0.1%) at first appearance,Chemical,Propiconazole,0.001,15,Flowering,Use resistant varieties,Remove crop debris post-harvest,North India
Urad (Black Gram),Cercospora Leaf Spot,Cercospora canescens,Fungus,Spray Mancozeb 0.25% or Carbendazim 0.1%,Chemical,Carbendazim or Mancozeb,0.0025,15,Flowering,"Use crop rotation; treat seed with Thiram 3 g/kg",Avoid late sowing,All pulse-growing states
Rajma (Kidney Bean),Anthracnose,Colletotrichum lindemuthianum,Fungus,Spray Carbendazim 0.1% or Mancozeb 0.2%,Chemical,Carbendazim or Mancozeb,0.1%-0.2%,12,Vegetative to Pod Formation,Use certified disease-free seeds,Avoid excessive irrigation,"Himalayan & Northern regions"
Cowpea (Lobia),Mosaic Virus,Cowpea Mosaic Virus,Virus,"Remove infected plants; control aphids using Imidacloprid 0.3 ml/L",Chemical,Imidacloprid,0.3 ml/L,15,Early Vegetative,"Use resistant variety and clean fields",Avoid waterlogging,"South & Central India"
Horse Gram (Kulthi),Leaf Spot,Cercospora spp.,Fungus,Spray Mancozeb 0.25% at 10-day interval,Chemical,Mancozeb,0.0025,10,Vegetative Stage,Rotate crops and remove residues,Avoid excessive irrigation,South India
Sunflower,Downy Mildew,Plasmopara halstedii,Fungus,Spray Metalaxyl 0.2% and maintain crop rotation,Chemical,Metalaxyl,0.002,15,Early Growth,Use resistant hybrids,Avoid overwatering,"Andhra Pradesh & Karnataka"
Sesame (Til),Leaf Curl Virus,Begomovirus,Virus,Control whitefly vector using Imidacloprid 0.5 ml/L,Chemical,Imidacloprid,0.5 ml/L,15,Early Growth,Use tolerant varieties and balanced nutrition,Avoid mixed cropping with cotton,All sesame-growing regions
Linseed (Alsi),Wilt,Fusarium oxysporum,Fungus,"Seed treatment with Trichoderma 4 g/kg; crop rotation",Biological,Trichoderma viride,4 g/kg seed,0,Pre-sowing,Use disease-free seed and crop rotation,Avoid continuous cropping,"Northern & Eastern India"
Castor Seed,Gray Mold,Botrytis ricini,Fungus,Spray Carbendazim 0.1% or Chlorothalonil 0.2%,Chemical,Carbendazim or Chlorothalonil,0.1%-0.2%,12,Flowering to Capsule Formation,Maintain air circulation,Do not overuse nitrogen,"Gujarat & Andhra Pradesh"
Safflower (Kardi),Alternaria Leaf Spot,Alternaria carthami,Fungus,Spray Mancozeb 0.25% at early infection stage,Chemical,Mancozeb,0.0025,15,Vegetative to Flowering,Use tolerant varieties,Avoid dense sowing,"Maharashtra & Karnataka"
Niger Seed,Leaf Blight,Cercospora guizotiae,Fungus,Spray Mancozeb 0.25% twice at 10-day intervals,Chemical,Mancozeb,0.0025,10,Flowering Stage,Ensure good drainage and sanitation,Avoid excessive soil moisture,Central India
Tobacco,Black Shank,Phytophthora nicotianae,Fungus,Drench soil with Metalaxyl + Mancozeb 0.2% or use crop rotation,Chemical,"Metalaxyl + Mancozeb",0.20%,15,Transplanting Stage,Use resistant varieties,Avoid excessive soil moisture,"Andhra Pradesh & Gujarat"
Rubber,Leaf Fall Disease,Corynespora cassiicola,Fungus,Apply Copper Oxychloride 0.5% on affected leaves,Chemical,Copper Oxychloride,0.005,20,Active Vegetative Stage,Maintain field hygiene,Avoid pruning during wet season,"Kerala & NE states"
Arecanut (Supari),Koleroga (Fruit Rot),Phytophthora arecae,Fungus,Apply Bordeaux mixture 1% to crown region,Chemical,Bordeaux Mixture,0.01,30,Monsoon Season,Maintain good drainage,Avoid stagnant water,"Coastal Karnataka & Kerala"
Kenaf,Stem Rot,Macrophomina phaseolina,Fungus,Spray Carbendazim 0.1% and ensure proper drainage,Chemical,Benomyl or Carbendazim,0.001,15,Vegetative,Use crop rotation,Avoid waterlogging,Eastern India
Hemp,Root Rot,Fusarium oxysporum,Fungus,Apply Trichoderma viride at 5 g/kg seed and soil drenching,Biological,Trichoderma viride,5 g/kg seed,0,Pre-sowing,Use crop rotation and healthy soil,Avoid excess nitrogen,North India
Papaya,Leaf Curl Virus,Begomovirus,Virus,Control whitefly vector with Imidacloprid 0.5 ml/L,Chemical,Imidacloprid,0.5 ml/L,10,Vegetative Stage,Use resistant varieties,Avoid intercropping with solanaceous crops,Tropical regions
Guava,Wilt,Fusarium oxysporum,Fungus,Soil drenching with Carbendazim 0.1% or Trichoderma culture,Biological/Chemical,Carbendazim or Trichoderma,0.001,20,Early Fruiting,Use well-drained soil,Avoid waterlogging,UP & Bihar
Pomegranate,Bacterial Blight,Xanthomonas axonopodis pv. punicae,Bacteria,Spray Copper Oxychloride 0.3% + Streptocycline 100 ppm,Chemical,Copper Oxychloride + Streptocycline,0.3% + 100 ppm,15,Fruiting Stage,Use infected twig removal,Avoid overhead irrigation,"Maharashtra & Karnataka"
Pineapple,Heart Rot,Phytophthora spp.,Fungus,Drench crown with Mancozeb 0.2% drench at base,Chemical,Mancozeb,0.002,20,Vegetative Stage,Ensure drainage and avoid injury,Avoid planting in low-lying fields,"Assam & Meghalaya"
Sapota (Chiku),Leaf Spot,Phaeophleospora indica,Fungus,Spray Carbendazim 0.1% at 15-day interval,Chemical,Carbendazim,0.001,15,Vegetative Stage,Remove infected leaves,Avoid dense planting,"Maharashtra & Gujarat"
Litchi,Fruit Borer,Conopomorpha sinensis,Insect,Spray Spinosad 0.3 ml/L at early infestation,Chemical,Spinosad,0.3 ml/L,15,Fruit Development,Use pheromone traps,Avoid spraying during flowering,"Bihar & West Bengal"
Watermelon,Anthracnose,Colletotrichum lagenarium,Fungus,Spray Mancozeb 0.25% or Carbendazim 0.1%,Chemical,Mancozeb or Carbendazim,0.0025,10,Vegetative to Fruiting,Use crop rotation,Avoid overhead irrigation,All India
Muskmelon,Downy Mildew,Pseudoperonospora cubensis,Fungus,Spray Metalaxyl + Mancozeb 0.2% twice at 10-day interval,Chemical,"Metalaxyl + Mancozeb",0.002,10,Vegetative,Use resistant hybrids,Ensure proper ventilation,North India
Cauliflower,Black Rot,Xanthomonas campestris pv. campestris,Bacteria,Spray Copper Oxychloride 0.3% and practice crop rotation,Chemical,Copper Oxychloride,0.003,15,Vegetative,Use hot-water-treated seed,Avoid continuous cropping,Pan-India
Brinjal (Eggplant),Shoot and Fruit Borer,Leucinodes orbonalis,Insect,Spray Emamectin Benzoate 0.4 g/L water,Chemical,Emamectin Benzoate,0.4 g/L,15,Flowering to Fruiting,Use pheromone traps and neem extract,Avoid continuous cropping,All Brinjal-growing areas
Okra (Lady's Finger),Yellow Vein Mosaic Virus,Begomovirus,Virus,Spray Imidacloprid 0.3 ml/L to control whiteflies,Chemical,Imidacloprid,0.3 ml/L,10,Vegetative to Fruiting,Use resistant varieties; remove infected plants,Avoid mixed cropping with cotton,All India
Spinach (Palak),Leaf Spot,Alternaria alternata,Fungus,Spray Mancozeb 0.25% at 10-day interval,Chemical,Mancozeb,0.0025,10,Leaf Development,Ensure proper spacing and hygiene,Avoid overhead irrigation,North India
